State,State Code,drug,adj_rate_15,adj_rate_16,adj_rate_flag_15,adj_rate_flag_16,deaths_15,deaths_16,deaths_flag_15,deaths_flag_16,lower_int_15,lower_int_16,population_15,population_16,upper_int_15,upper_int_16,gt_100_deaths,nonoverlapping_intervals,zscore,sig,quality_reporting
Oregon,41,coc,0.58,0.66,,,22.0,26.0,,,0.36,0.43,4028977,4093465,0.88,0.97,False,False,0.45770316429151847,0.0,True
Pennsylvania,42,coc,2.16,4.21,,,269.0,513.0,,,1.9,3.84,12802503,12784227,2.43,4.59,True,True,9.188259775239665,1.0,False
Rhode Island,44,coc,8.32,10.73,,,87.0,112.0,,,6.61,8.69,1056298,1056426,10.32,12.77,False,False,1.7947127863144776,0.0,True
South Carolina,45,coc,2.41,3.02,,,116.0,143.0,,,1.96,2.51,4896146,4961119,2.85,3.52,True,False,1.8370833998989349,0.0,True
South Dakota,46,coc,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,858469,865454,,,False,False,,,False
Tennessee,47,coc,3.03,3.76,,,202.0,249.0,,,2.61,3.28,6600299,6651194,3.46,4.23,True,False,2.279921571315186,1.0,True
Texas,48,coc,1.71,2.07,,,470.0,584.0,,,1.55,1.9,27469114,27862596,1.86,2.24,True,True,3.0787523540829413,1.0,True
Utah,49,coc,1.54,1.69,,,44.0,48.0,,,1.11,1.24,2995919,3051217,2.07,2.24,False,False,0.45882071972952465,0.0,True
Vermont,50,coc,,3.97,Unreliable,,14.0,21.0,,,1.25,2.42,626042,624594,3.84,6.13,False,False,,0.0,True
Virginia,51,coc,1.97,3.04,,,168.0,254.0,,,1.66,2.66,8382993,8411808,2.27,3.42,True,True,4.379883873956081,1.0,True
Washington,53,coc,1.1,1.18,,,85.0,90.0,,,0.88,0.94,7170351,7288000,1.37,1.45,False,False,0.4503944767868678,0.0,True
West Virginia,54,coc,5.6,8.5,,,94.0,143.0,,,4.5,7.08,1844128,1831102,6.88,9.93,False,True,3.311971764731931,1.0,True
Wisconsin,55,coc,1.98,2.56,,,115.0,147.0,,,1.61,2.14,5771337,5778708,2.35,2.99,True,False,2.068540581641395,1.0,True
Wyoming,56,coc,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,586107,585501,,,False,False,,,False
Alabama,01,coc_fen,,0.75,Suppressed,,,31.0,Suppressed,,,0.51,4858979,4863300,,1.07,False,False,,,False
Alaska,02,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,738432,741894,,,False,False,,,True
Arizona,04,coc_fen,,,Suppressed,Unreliable,,13.0,Suppressed,,,0.1,6828065,6931071,,0.31,False,False,,,True
Arkansas,05,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,2978204,2988248,,,False,False,,,False
California,06,coc_fen,,0.11,Unreliable,,15.0,45.0,,,0.02,0.08,39144818,39250017,0.07,0.14,False,True,,1.0,False
Colorado,08,coc_fen,,,Suppressed,Unreliable,,10.0,Suppressed,,,0.09,5456574,5540545,,0.34,False,False,,,True
Connecticut,09,coc_fen,1.2,3.94,,,40.0,128.0,,,0.85,3.25,3590886,3576452,1.65,4.64,False,True,7.238871756922166,1.0,True
Delaware,10,coc_fen,,,Suppressed,Unreliable,,18.0,Suppressed,,,1.14,945934,952065,,3.13,False,False,,,False
District of Columbia,11,coc_fen,,6.38,Suppressed,,,41.0,Suppressed,,,4.56,672228,681170,,8.69,False,False,,,True
Florida,12,coc_fen,0.81,2.6,,,148.0,480.0,,,0.68,2.36,20271272,20612439,0.94,2.83,True,True,13.828512841169934,1.0,False
Georgia,13,coc_fen,0.32,0.42,,,34.0,43.0,,,0.22,0.3,10214860,10310371,0.45,0.57,False,False,1.1772610216787778,0.0,True
Hawaii,15,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,1431603,1428557,,,False,False,,,True
Idaho,16,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,1654930,1683140,,,False,False,,,False
Illinois,17,coc_fen,0.27,1.34,,,36.0,163.0,,,0.19,1.13,12859995,12801539,0.37,1.55,False,True,9.559314746350653,1.0,True
Indiana,18,coc_fen,,0.65,Suppressed,,,39.0,Suppressed,,,0.46,6619680,6633053,,0.9,False,False,,,False
Iowa,19,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,3123899,3134693,,,False,False,,,True
Kansas,20,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,2911641,2907289,,,False,False,,,False
Kentucky,21,coc_fen,1.06,1.52,,,43.0,62.0,,,0.76,1.17,4425092,4436974,1.43,1.96,False,False,1.9061232518652662,0.0,False
Louisiana,22,coc_fen,,,Suppressed,Unreliable,,19.0,Suppressed,,,0.26,4670724,4681666,,0.68,False,False,,,False
Maine,23,coc_fen,,3.32,Unreliable,,15.0,39.0,,,0.76,2.34,1329328,1331479,2.25,4.57,False,True,,1.0,True
Maryland,24,coc_fen,0.69,2.77,,,42.0,169.0,,,0.5,2.34,6006401,6016447,0.94,3.2,False,True,8.667792873105315,1.0,True
Massachusetts,25,coc_fen,3.38,6.07,,,220.0,399.0,,,2.93,5.46,6794422,6811779,3.84,6.68,True,True,7.216404891894899,1.0,True
Michigan,26,coc_fen,1.19,2.83,,,112.0,260.0,,,0.96,2.48,9922576,9928300,1.41,3.18,True,True,8.148627521629999,1.0,False
